target_id	length	eff_length	est_counts	tpm
BgeEVm014577t1	7651	7491.07	11.3346	0.629015
BgeEVm008334t1	5452	5292.07	2	0.15711
BgeEVm005338t1	13446	13286.1	175.316	5.48561
BgeEVm001349t3	13403	13243.1	55.2892	1.7356
BgeEVm015475t1	13321	13161.1	64.6374	2.0417
BgeEVm001923t1	13314	13154.1	206.333	6.5209
BgeEVm018761t3	9403	9243.07	0	0
BgeEVm026365t1	13288	13128.1	95.488	3.02375
BgeEVm014291t1	13247	13087.1	97.6017	3.10037
BgeEVm000781t1	13153	12993.1	266.499	8.52674
BgeEVm014938t1	13149	12989.1	35.6946	1.14241
BgeEVm009658t1	7109	6949.07	47.4165	2.83662
BgeEVm007685t3	13028	12868.1	32.7949	1.05948
BgeEVm003005t1	12987	12827.1	65.5176	2.12339
BgeEVm005482t1	12984	12824.1	5.93428	0.192372
BgeEVm000043t1	12972	12812.1	728.412	23.6351
BgeEVm018405t1	378	219.038	0	0
BgeEVm018236t1	9892	9732.07	36.2573	1.54878
BgeEVm004582t4	12892	12732.1	34.0584	1.11205
BgeEVm000094t1	12880	12720.1	35	1.14387
BgeEVm000054t1	12866	12706.1	9	0.294463
BgeEVm019282t1	7985	7825.07	65.612	3.48573
BgeEVm000193t1	12814	12654.1	110.295	3.62346
BgeEVm008726t1	12735	12575.1	169.959	5.61866
BgeEVm004731t1	12693	12533.1	94.6233	3.13862
BgeEVm001080t5	12652	12492.1	33.297	1.10808
BgeEVm006310t1	12584	12424.1	96.4777	3.22821
BgeEVm019185t1	3177	3017.07	7.45967	1.02786
BgeEVm005680t1	1970	1810.07	11.298	2.59481
BgeEVm000040t1	12532	12372.1	77.602	2.60753
BgeEVm007853t1	12519	12359.1	0	0
BgeEVm003829t1	12517	12357.1	122.421	4.11849
BgeEVm000693t1	12436	12276.1	51.5205	1.7447
BgeEVm000292t1	12386	12226.1	202.536	6.88676
BgeEVm018774t1	12384	12224.1	42.5119	1.44575
BgeEVm022546t1	12348	12188.1	110.622	3.77317
BgeEVm000062t1	12297	12137.1	51	1.74685
BgeEVm001860t1	12290	12130.1	41.5566	1.42422
BgeEVm008999t1	1770	1610.07	2	0.516396
BgeEVm000073t1	12196	12036.1	115.749	3.99788
BgeEVm021152t1	3198	3038.07	7.28494	0.996843
BgeEVm021007t1	4386	4226.07	17.1892	1.6909
BgeEVm019890t1	8950	8790.07	58.9753	2.78918
BgeEVm000274t1	12003	11843.1	381.683	13.3979
